[1B]S1,シュジンコウ,[1B]S1,シュジンコウ,Arsène,"A being based off of the main character of Maurice Leblanc's novels, Arsène Lupin. He appears everywhere and is a master of disguise. He is known to help law-abiding citizens.",Rebel Knife,ブキ1,"A weapon manifested
from an awakened power.",－,未作成テキスト,未作成テキスト,未作成テキスト,Black Polo,ボウグ０,"A black polo shirt with a
chic design.",－,衣装１,未作成テキスト,未作成テキスト,Hip Glasses,未作成テキスト,"Black-framed glasses that
make one look smart.",－,Leblanc Coffee,ルブランコーヒー,"Specialty drip coffee.
Restores 30 SP to one ally.",Gyutan Stew,アイテム0,It smells delicious...,Items,ショウヒブツ,未作成テキスト,Amazoom,アメイジン,説明が入ります,HP Boost,"Increases max HP of
all party members.",+5 HP,HP Boost,バンド０,"Increases max HP of
all party members.",BOND unlock flag 0,バンド０,"Clear the request:
Cursing Those on High",Marking Shot,マーキングショット,"Perform a follow-up after a [1B]P3 or
midair [1B]P3 gun attack.",Car[1B]M0~%d~,パトカー,説明が入ります,Detonate[1B]M0~%d~,バクハ,説明が入ります,通常攻撃,ツウジョウコウゲキ,説明が入ります,Level Up,フリガナ０,説明が入ります,Shibuya,Kyoto,スクランブル交差点,Yongen-Jaya,Shibuya Jail Entrance,Shibuya Crossing,Player,[1B]M1~0~,Supermarket,Phantom Dash,未作成テキスト,未作成テキスト,Basic Actions,未作成テキスト,"[1B]P2: Standard attack
[1B]P3: Special attack
[1B]P5: Evade",渋谷のカボチャパーティ,未作成テキスト,説明が入ります,詳細入力が入ります,表示しない想定,Joker,Yongen-Jaya,Station Square,Phys,Gained BOND experience.,Original,Persona 1 Music Set,Easy
Ryuji,サカモトリュウジ,Ryuji,サカモトリュウジ,Captain Kidd,"A 17th century privateer who eventually became a world-renowned pirate. At his execution, he declared he had hidden treasure, leaving behind many legends.",Blizz Dagger,ブキ2,"A dagger with a pale
blue blade.",+Freeze (low),未作成テキスト,未作成テキスト,未作成テキスト,Neckerchief,ボウグ１,"A yellow neckerchief
made from mysterious
materials.",－,衣装２,未作成テキスト,未作成テキスト,Silver Bangle,未作成テキスト,"A silver bangle that's
popular among men.",－,Master Coffee,極上ルブランカレー,"The finest quality coffee,
brewed Leblanc style.
Restores 50 SP to one ally.",Salmon Bowl,アイテム1,It smells delicious...,Skill Cards,スキルカード,未作成テキスト,Super Muramasa,スーパームラマサ,説明が入ります,HP Boost,"Increases max HP of
all party members.",+5 HP,SP Boost,バンド１,"Increases max SP of
all party members.",BOND unlock flag 1,バンド１,"Clear the request:
A Thief's Challenge: Skull",Wild Rush,ワイルドラッシュ,"Perform an additional Persona attack
with [1B]P3 after [1B]P2[1B]P2[1B]P2[1B]P2[1B]P2[1B]P3.",Pole[1B]M0~%d~,ポール,説明が入ります,Spin[1B]M0~%d~,マワル,説明が入ります,強攻撃,キョウコウゲキ,説明が入ります,St Up,フリガナ１,説明が入ります,Sendai,Okinawa,セントラル街,Café Leblanc,Central Street: South,Central Street,Player,[1B]M1~0~,Batting Cages,Powering Up Skills with BOND,未作成テキスト,未作成テキスト,Attacking with [1B]P2 and [1B]P3,未作成テキスト,"[1B]P2→[1B]P3
[1B]P2→[1B]P2→[1B]P3
[1B]P2→[1B]P2→[1B]P2......[1B]P3",蛇は冷たいのが苦手,未作成テキスト,説明が入ります,詳細入力が入ります,Defeat [1B]T0%s[1B]R,Skull,Shibuya,Central Street,Gun,"New weapons are available
at Sophia's online shop.",Revelations: Persona,Persona 2 Music Set,Normal
Morgana,モルガナ,Morgana,モルガナ,Zorro,"A masked swordsman of justice who fought in California against corrupt officials during the era of Spanish rule. He always left his ""Z"" mark with his rapier wherever he appeared.",Silver Dagger,ブキ3,"A silver blade resplendent
in its ornamentation.",－,未作成テキスト,未作成テキスト,未作成テキスト,Tanktop,ボウグ２,"A red tanktop that shows
off the wearer's strength.",－,衣装３,未作成テキスト,未作成テキスト,Fanny Pack,未作成テキスト,"A fanny pack made for
holding small items.",－,Leblanc Curry,ルブランカレー,"A simple dish, and the basis of any good curry recipe. Restores 20 SP to all allies.",未作成テキスト,アイテム2,未作成テキスト,Ingredients,ショクザイ,未作成テキスト,Aohige,トリヒキサキ２,説明が入ります,HP Boost,"Increases max HP of
all party members.",+5 HP,Strength Boost,バンド０,"Increases St for all
party members. Affects
physical attack damage.",BOND unlock flag 2,バンド０,"Clear the request:
Trapped in the Abyss",Phantom Barrage,ファントムショット,"[1B]P3 attacks won't consume ammo.
Press [1B]P3 after certain attacks to perform
an additional three-shot attack.",Transport Drone[1B]M0~%d~,クレーン,説明が入ります,Drop[1B]M0~%d~,オトス,説明が入ります,銃撃,ジュウゲキ,説明が入ります,Ma Up,フリガナ２,説明が入ります,Sapporo,未作成テキスト,マルクシティ,Station Square,Maruku City,Maruku City,Player,[1B]M1~0~,Tobacco Store,1 More,未作成テキスト,未作成テキスト,Ultimate Attack,未作成テキスト,"While the gauge is full:
[1B]P3+[1B]P0: Showtime!",一ノ瀬のジャンク集め　その１,未作成テキスト,説明が入ります,詳細入力が入ります,Defeat [1B]T0%s[1B]R with a phantom dash,Mona,Café Leblanc,Backstreets,Fire,"New protectors are available
at Sophia's online shop.",Persona,Persona 3 Music Set,Hard
Ann,タカマキアン,Ann,タカマキアン,Carmen,"A gypsy thief from the novel by Merimee, which became famous through the opera by Bizet. She is a femme fatale who is beautiful but also very capricious.",Kukri,ブキ4,"Curved, Nepalese knife
also used as a tool.",－,未作成テキスト,未作成テキスト,未作成テキスト,Off-Shoulder Top,ボウグ３,A fashionable shirt.,－,衣装４,未作成テキスト,未作成テキスト,Sunglasses,未作成テキスト,"A fashionable pair of
sunglasses that can be
worn on any occasion.",－,Kyoto Curry,リョウリ３,"Each bite brings back happy
memories of Akane.
Restores 40 SP to all allies.",未作成テキスト,アイテム3,未作成テキスト,Materials,カンキンソザイ,未作成テキスト,Big Bang Burger,トリヒキサキ３,説明が入ります,HP Boost,"Increases max HP of
all party members.",+5 HP,Magic Boost,バンド１,"Increases Ma for all
party members. Affects
magical attack damage.",BOND unlock flag 3,バンド１,"Clear the request:
Prison Mail, Part 6",Dead Shot,バーストショット,"While aiming with [1B]P7, holding [1B]P4 will
gradually consume ammo to perform
an increasingly powerful shot.",未作成テキスト,プレゼントボックス,説明が入ります,Rush[1B]M0~%d~,トッシン,説明が入ります,ペルソナ攻撃,ペルソナコウゲキ,説明が入ります,En Up,フリガナ３,説明が入ります,Okinawa,Yokohama,渋谷駅西口,Central Street,Shibuya Station: West Exit,Shibuya Station: West Exit,Ally,[1B]M1~3~,Vending Machine,Persona Skills,未作成テキスト,未作成テキスト,Landing an All-Out Attack,未作成テキスト,"Use Persona Skills
[1B]P0 while an enemy is
knocked down: All-Out Attack",不思議の国の再演,未作成テキスト,説明が入ります,詳細入力が入ります,Defeat [1B]T0%s[1B]R by striking weakness,Panther,Sendai,Inside,Ice,"New accessories are available
at Sophia's online shop.",Persona 2: Innocent Sin,Persona 4 Music Set,Merciless
Yusuke,キタガワユウスケ,Yusuke,キタガワユウスケ,Goemon,Ishikawa Goemon was a thief who stole from the rich and gave to the poor in Japan during the Azuchi-Momoyama period. The kabuki scene of him sitting on the gate of Nanzen-ji is famous.,Athame,ブキ5,"A dagger used during
Wiccan rituals.",－,未作成テキスト,未作成テキスト,未作成テキスト,Long Hoodie,ボウグ４,"A long hoodie made
with breathable fabric.",－,衣装５,未作成テキスト,未作成テキスト,Silver Key Ring,未作成テキスト,"A classic silver-coated
key ring.",－,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,アイテム4,未作成テキスト,Key Items,キチョウヒン,未作成テキスト,Triple Seven,トリヒキサキ４,説明が入ります,HP Boost,"Increases max HP of
all party members.",+5 HP,Endurance Boost,バンド２,"Increases En for all
party members. Affects
defense.",BOND unlock flag 4,バンド２,"Clear the request:
Prison Mail, Part 5",未作成テキスト,マスターアーツ４,未作成テキスト,Bus,バス,説明が入ります,Move[1B]M0~%d~,イドウ,説明が入ります,ジャンプ,ジャンプ,説明が入ります,Ag Up,フリガナ４,説明が入ります,Fukuoka,Yongen-Jaya,地下水路,Quick Travel,Underground Waterway,Underground Waterway,Ally,[1B]M1~4~,Theater,All-Out Attacks,未作成テキスト,未作成テキスト,Landing an All-Out Attack,未作成テキスト,"[1B]P3 while hiding: Special action
[1B]P0 while an enemy is
knocked down: All-Out Attack",耐久ドロドロ地獄,未作成テキスト,説明が入ります,詳細入力が入ります,Defeat [1B]T0%s[1B]R with [1B]M0~%d~[1B]T3%s[1B]R,Fox,Sapporo,Attic,Elec,"New cooking ingredients are
available at Sophia's online shop.",Persona 2: Eternal Punishment,Persona 5 Music Set,未作成テキスト
Makoto,ニイジママコト,Makoto,ニイジママコト,Johanna,The mysterious female pope of the Middle Ages. She posed as a man and eventually made it all the way up to pope due to her unrivaled intellect. Her existence shook the history of the Catholic church.,Igniter,ブキ6,"A dagger forged in fire
that burns intensely.",+Burn (low),未作成テキスト,未作成テキスト,未作成テキスト,Biker Jacket,ボウグ５,"A biker jacket that
focuses on functionality
over comfort.",－,衣装６,未作成テキスト,未作成テキスト,Modern Necklace,未作成テキスト,"A modern necklace
with a humble design.",－,Master Curry,リョウリ５,"The ultimate curry, honed by plenty of taste testing. Restores 50 SP to all allies.",Miso Ramen,アイテム5,It smells delicious...,未作成テキスト,トリヒキサキ５,未作成テキスト,Rocinante,トリヒキサキ５,説明が入ります,HP Boost,"Increases max HP of
all party members.",+5 HP,Agility Boost,バンド３,"Increases Ag for all
party members. Affects
Criticals/auto-evades.",BOND unlock flag 5,バンド３,"Clear the request:
Trapped in a Frozen Hell",未作成テキスト,マスターアーツ５,未作成テキスト,Cover Point,ランタン,説明が入ります,Launch[1B]M0~%d~,ハッシャ,説明が入ります,２段ジャンプ,ニダンジャンプ,説明が入ります,Lu Up,フリガナ５,説明が入ります,Kyoto,未作成テキスト,宮前公園,Quick Travel,Miyamae Park,Miyamae Park,Ally,[1B]M1~5~,Takemi Medical Clinic,Showtime,未作成テキスト,未作成テキスト,Persona Skills,未作成テキスト,"Hold [1B]P4 and Press [1B]PK:
Use skills",一ノ瀬のジャンク集め　その２,未作成テキスト,説明が入ります,詳細入力が入ります,Defeat [1B]T0%s[1B]R with [1B]T2%s[1B]R,Queen,Okinawa,Sendai Station,Wind,"The skill level can now be increased
for stat-boosting BOND skills.",Persona 3 (Hero),Booster Skill Pack,未作成テキスト
Haru,オクムラツバキ,Haru,オクムラツバキ,Milady,"The beautiful woman that appears in Dumas's ""Three Musketeers."" Branded with a fleur-de-lis symbol, she used many aliases to control nobility and get her vengeance.",Skinning Knife,ブキ7,"A dagger used for
skinning prey.",－,未作成テキスト,未作成テキスト,未作成テキスト,Pink Dress,ボウグ６,"A sharp, sophisticated
dress.",－,衣装７,未作成テキスト,未作成テキスト,Clover Bracelet,未作成テキスト,"A cute looking clover
bracelet.",－,Gyutan Stew,リョウリ６,Slow-cooked beef tongue stew. Tender and savory. Restores 40 HP to all allies.,Jingisukan,アイテム6,It smells delicious...,未作成テキスト,トリヒキサキ６,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,HP Boost,"Increases max HP of
all party members.",+5 HP,Luck Boost,バンド４,"Increases Lu for all
party members. Affects
Crit evasion/ailment rates.",BOND unlock flag 6,バンド４,"Clear the request:
Junk Collection, Part 2",未作成テキスト,マスターアーツ６,未作成テキスト,Cover Point,ランタン,説明が入ります,Push[1B]M0~%d~,オス,説明が入ります,空中通常攻撃,クウチュウツウジョウコウゲキ,説明が入ります,Skill Card Limit,フリガナ６,説明が入ります,Osaka,未作成テキスト,Ｂｕｎｋａｍａｃｈｉ,Quick Travel,Bunkamachi: East,Bunkamachi,未作成テキスト,未作成テキスト,Sayuri,Using Items,未作成テキスト,未作成テキスト,All-Out Attacks,未作成テキスト,"[1B]P0 while an enemy is
knocked down: All-Out Attack",札幌雪だるま炎上警報,未作成テキスト,説明が入ります,詳細入力が入ります,"Defeat multiple Shadows
at once with Showtime",Noir,Osaka,Mt. Aoba Park,Psy,"The skill level can now be increased
for Bondmaker.",Persona 3 (Heroine),Recovery Relief Pack,[1B]Z
Futaba,サクラフタバ,Futaba,サクラフタバ,Necronomicon,The grimoire which contains vital information of the Cthulhu mythos by Lovecraft. Its original name is Al Azif. It is said the book itself is alive.,Kopis,ブキ8,"A curved blade used
by ancient Greeks.",－,未作成テキスト,未作成テキスト,未作成テキスト,Olive Jacket,ボウグ７,"A summer jacket that's
easy to move around in.",－,衣装８,未作成テキスト,未作成テキスト,Headphones,未作成テキスト,"High fidelity headphones
for the true audiophile.",－,Salmon Bowl,リョウリ７,A rice bowl laden with both salmon and salmon roe. Restores 20 HP to all allies.,Seafood Bowl,アイテム7,It smells delicious...,未作成テキスト,トリヒキサキ７,未作成テキスト,Sekigan Butcher Shop,トリヒキサキ７,説明が入ります,HP Boost,"Increases max HP of
all party members.",+5 HP,Pass Appeal,バンド５,"After performing a Baton
Pass, the Showtime gauge
will fill faster.",BOND unlock flag 7,バンド５,"Clear the request:
Painful Past: Ango Natsume",未作成テキスト,マスターアーツ７,未作成テキスト,Wire,ジップライン,説明が入ります,Throw[1B]M0~%d~,ナゲル,説明が入ります,空中強攻撃,クウチュウキョウコウゲキ,説明が入ります,強化項目07,フリガナ７,説明が入ります,Jail of the Abyss,未作成テキスト,７０５周辺,Quick Travel,Central Street: North,705,未作成テキスト,未作成テキスト,Pay Phone,Ambushes Part 1,未作成テキスト,未作成テキスト,Phantom Dash,未作成テキスト,"[1B]P0 when prompted: Hide
[1B]P3 while hiding: Special action",夢魔への祝福が届きますように,未作成テキスト,説明が入ります,詳細入力が入ります,Reach location marked with [1B]M1~32~,Oracle,Yokohama,Suzushino,Nuke,"The skill level can now be increased
further for stat-boosting BOND skills.",Persona 4,Starter Weapon Pack,[1B]Z
Sophia,ソフィア,Sophia,ソフィア,Pandora,"The first woman created by the Greek gods, made to punish mankind's hubris. She opens a forbidden vessel (said to be a jar or a box) and unleashes evil into the world, but also reveals Hope, to ensure humanity is not crushed by despair.",Arsene's Cane S,ブキ9,"A replica of a cane once
carried by a legendary
gentleman thief.",+Random ailment (low),未作成テキスト,未作成テキスト,未作成テキスト,Silicone Armor,ボウグ８,"A suit of armor with high
elasticity. Made from
unknown materials.",－,衣装９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,－,Miso Ramen,リョウリ８,Made with special miso. Restores 20 HP to all allies. Applies Masukukaja effect.,未作成テキスト,アイテム8,未作成テキスト,未作成テキスト,トリヒキサキ８,未作成テキスト,Zunda Mochi Shop,トリヒキサキ８,説明が入ります,HP Boost,"Increases max HP of
all party members.",+5 HP,Harisen Helper,バンド６,"Increases chance to
trigger Harisen Recovery.",BOND unlock flag 8,バンド６,Unused,未作成テキスト,マスターアーツ８,未作成テキスト,未作成テキスト,バルーン,説明が入ります,未作成テキスト,ダミー８,説明が入ります,ファントムサーチ,ファントムサーチ,説明が入ります,強化項目08,フリガナ８,説明が入ります,Tree of Knowledge,未作成テキスト,渋谷08,Quick Travel,Bunkamachi: West,未作成テキスト,未作成テキスト,未作成テキスト,Booth Seat,Baton Pass,未作成テキスト,未作成テキスト,Dashing,未作成テキスト,[1B]P5 while moving: Dash,一ノ瀬のジャンク集め　その３,未作成テキスト,説明が入ります,詳細入力が入ります,Deliver [1B]TA%s[1B]R,Sophie,Shibuya Jail,Odori Park,Bless,"The skill level can now be increased
for BOND skills that boost Persona abilities.",Persona 4 Golden,Starter Armor Pack,[1B]Z
Zenkichi,ハセガワゼンキチ,Zenkichi,ハセガワゼンキチ,Valjean,"Protagonist of Victor Hugo's ""Les Misérables."" Jailed after stealing bread for his starving nephews, he was consumed by bitterness, but a bishop's mercy inspired a change of heart. He strove to be a virtuous champion of the poor and downtrodden.",Killing Scalpel,ブキ10,"A deadly tool used by
medical professionals.",－,未作成テキスト,未作成テキスト,未作成テキスト,Black Suit,ボウグ９,"A chic black suit worn
by investigators.",－,衣装１０,未作成テキスト,未作成テキスト,Knee-High Boots,未作成テキスト,"Knee-high boots with
excellent elasticity.
Made from rubber.",－,Jingisukan,リョウリ９,One bite of this lamb BBQ fills your body with energy. Restores 40 HP to all allies.,未作成テキスト,アイテム9,未作成テキスト,未作成テキスト,トリヒキサキ９,未作成テキスト,NEON,トリヒキサキ９,説明が入ります,HP Boost,"Increases max HP of
all party members.",+5 HP,Oracle Recovery,バンド７,"Restores HP and SP to all
party members at end of battle.",BOND unlock flag 9,バンド７,Unused,未作成テキスト,マスターアーツ９,未作成テキスト,Land,カバー,説明が入ります,未作成テキスト,ダミー９,説明が入ります,待機解除,タイキカイジョ,説明が入ります,強化項目09,フリガナ９,説明が入ります,Trauma Cell,未作成テキスト,渋谷09,Quick Travel,渋谷チェックポイント09,未作成テキスト,未作成テキスト,未作成テキスト,Fridge,Gaining Personas,未作成テキスト,未作成テキスト,Taking Aim and Shooting,未作成テキスト,"Hold [1B]P7 to take aim
[1B]P4 while aiming: Fire
When enemy is down: All-Out Attack",家妖精の反乱,未作成テキスト,説明が入ります,詳細入力が入ります,Show [1B]TC%s[1B]R with [1B]TB%s[1B]R to Lavenza,Wolf,Sendai Jail,Ferry Dock,Curse,"The skill level can now be increased
for Joker's Wild.",Persona 5,Starter Accessory Pack,[1B]Z
未作成テキスト,未作成テキスト,未作成テキスト,カリ,Pithos,"A set of mysterious objects Sophia uses in battle to mimic the powers of Persona-users. Though they function similarly to Personas, their inner workings are completely unknown. Its name is derived from the Greek word for ""jar.""",Quality Kopis,ブキ11,"A sharp, high quality knife
used for skinning prey.",－,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,ボウグ１０,未作成テキスト,[1B]Z,衣装１１,未作成テキスト,未作成テキスト,Black Tie,未作成テキスト,"A versatile black tie
that can be worn at
any function.",－,Seafood Bowl,リョウリ１０,"A raw fish medley.
Restores 20 SP to all allies.
Applies Marakukaja effect.",Okinawa Soba,アイテム10,It smells delicious...,[1B]Z,[1B]Z,[1B]Z,Digging 4 Deals,トリヒキサキ１０,説明が入ります,HP Boost,"Increases max HP of
all party members.",+5 HP,Martial Arts,バンド１０,"Increases damage for
physical Persona skills.",BOND unlock flag 10,バンド１０,Unused,未作成テキスト,マスターアーツ１０,未作成テキスト,Skateboard Rack[1B]M0~%d~,スケートボードラック,説明が入ります,未作成テキスト,ダミー１０,説明が入ります,ペルソナ召喚,ペルソナショウカン,説明が入ります,強化項目10,フリガナ１０,説明が入ります,[1B]Z,[1B]Z,仙台駅前,Mt. Aoba Park,渋谷チェックポイント10,Sendai Station,未作成テキスト,未作成テキスト,Counter,Fusing Personas,未作成テキスト,未作成テキスト,Special Phantom Dash,未作成テキスト,"[1B]P3 while hiding:
Special action",荒ぶる蛾には精密射撃,未作成テキスト,説明が入ります,詳細入力が入ります,Do not use quick travel,未作成テキスト,Sapporo Jail,Beach,Almighty,"The skill level can now be increased
for Extortionist.",Persona 5 Royal,New Year Pack,[1B]Z
